"","Naziv_jedinice","Godina","Županija","Status","Stopa_prireza","Iznos_prireza","Broj_stanovnika","Iznos_prireza_po_stanovniku"
"385","BLATO",2014,"XIX DUBROVAČKO-NERETVANSKA","OPĆINA",0.1,597589.1458,3628,164.715861576626
"386","BLATO",2015,"XIX DUBROVAČKO-NERETVANSKA","OPĆINA",0.1,507424.354,3627,139.901944858009
"387","BLATO",2016,"XIX DUBROVAČKO-NERETVANSKA","OPĆINA",0.1,538005.2206,3601,149.404393390725
"388","BLATO",2017,"XIX DUBROVAČKO-NERETVANSKA","OPĆINA",0.1,547430.538283,3561,153.729440686043
"389","BLATO",2018,"XIX DUBROVAČKO-NERETVANSKA","OPĆINA",0.1,593656.587771,3565,166.523587032539
"390","BLATO",2019,"XIX DUBROVAČKO-NERETVANSKA","OPĆINA",0.1,644502.015497,3559,181.090760184602
"391","BLATO",2020,"XIX DUBROVAČKO-NERETVANSKA","OPĆINA",0.1,568908.463948,3534,160.981455559706
"392","BLATO",2021,"XIX DUBROVAČKO-NERETVANSKA","OPĆINA",0.1,574621.445926,3330,172.558992770571
"393","BOGDANOVCI",2008,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA",0,0,2009,0
"394","BOGDANOVCI",2009,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA",0,0,1986,0
"395","BOGDANOVCI",2010,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA",0,0,1948,0
"396","BOGDANOVCI",2011,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA",0,0,1926,0
"397","BOGDANOVCI",2012,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA",0,0,1889,0
"398","BOGDANOVCI",2013,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA",0,0,1889,0
"399","BOGDANOVCI",2014,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA",0,0,1852,0
"400","BOGDANOVCI",2015,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA",0,0,1808,0
"401","BOGDANOVCI",2016,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA",0,0,1750,0
