"","Naziv_jedinice","Godina","Šifra_Ž","Županija","Status","Šifra_GO","Stopa_prireza","Objava","Datum_primjene","Iznos_prireza","Broj_stanovnika"
"80","BAKAR",2018,8,"VIII PRIMORSKO-GORANSKA","GRAD","00043",0,"-","-",0,8114
"81","BAKAR",2019,8,"VIII PRIMORSKO-GORANSKA","GRAD","00043",0,"-","-",0,8160
"82","BAKAR",2020,8,"VIII PRIMORSKO-GORANSKA","GRAD","00043",0,"-","-",0,8109
"83","BAKAR",2021,8,"VIII PRIMORSKO-GORANSKA","GRAD","00043",0,"-","-",0,7573
"84","BAKAR",2022,8,"VIII PRIMORSKO-GORANSKA","GRAD","00043",0,"-","-",NA,NA
"85","BALE",2002,18,"XVIII ISTARSKA","OPĆINA","00051",0.05,"NN 02/02","01.01.2002.",NA,977
"86","BALE",2003,18,"XVIII ISTARSKA","OPĆINA","00051",0.05,"NN 02/02","01.01.2002.",NA,996
"87","BALE",2004,18,"XVIII ISTARSKA","OPĆINA","00051",0.01,"NN 93/04","01.09.2004.",NA,1009
"88","BALE",2005,18,"XVIII ISTARSKA","OPĆINA","00051",0.01,"NN 93/04","01.09.2004.",NA,1036
"89","BALE",2006,18,"XVIII ISTARSKA","OPĆINA","00051",0.01,"NN 93/04","01.09.2004.",NA,1055
"90","BALE",2007,18,"XVIII ISTARSKA","OPĆINA","00051",0.01,"NN 93/04","01.09.2004.",NA,1078
"91","BALE",2008,18,"XVIII ISTARSKA","OPĆINA","00051",0.01,"NN 93/04","01.09.2004.",67863.75,1078
"92","BALE",2009,18,"XVIII ISTARSKA","OPĆINA","00051",0.01,"NN 93/04","01.09.2004.",43539.21,1098
"93","BALE",2010,18,"XVIII ISTARSKA","OPĆINA","00051",0.01,"NN 93/04","01.09.2004.",58780.58,1117
"94","BALE",2011,18,"XVIII ISTARSKA","OPĆINA","00051",0.01,"NN 93/04","01.09.2004.",45800.29,1140
"95","BALE",2012,18,"XVIII ISTARSKA","OPĆINA","00051",0.01,"NN 93/04","01.09.2004.",25704.84,1132
"96","BALE",2013,18,"XVIII ISTARSKA","OPĆINA","00051",0.01,"NN 93/04","01.09.2004.",32402.0427,1140
"97","BALE",2014,18,"XVIII ISTARSKA","OPĆINA","00051",0.01,"NN 93/04","01.09.2004.",34871.165,1151
"98","BALE",2015,18,"XVIII ISTARSKA","OPĆINA","00051",0.01,"NN 93/04","01.09.2004.",33946.3485,1144
"99","BALE",2016,18,"XVIII ISTARSKA","OPĆINA","00051",0.01,"NN 93/04","01.09.2004.",33631.3463,1141
"100","BALE",2017,18,"XVIII ISTARSKA","OPĆINA","00051",0.01,"NN 93/04","01.09.2004.",35818.060745,1155
"101","BALE",2018,18,"XVIII ISTARSKA","OPĆINA","00051",0.01,"NN 93/04","01.09.2004.",33704.255333,1159
"102","BALE",2019,18,"XVIII ISTARSKA","OPĆINA","00051",0.01,"NN 93/04","01.09.2004.",40454.66022,1202
"103","BALE",2020,18,"XVIII ISTARSKA","OPĆINA","00051",0.01,"NN 93/04","01.09.2004.",44470.694123,1224
"104","BALE",2021,18,"XVIII ISTARSKA","OPĆINA","00051",0.01,"NN 93/04","01.09.2004.",38199.910071,1170
"105","BALE",2022,18,"XVIII ISTARSKA","OPĆINA","00051",0.01,"NN 93/04","01.09.2004.",NA,NA
"106","BARBAN",2002,18,"XVIII ISTARSKA","OPĆINA","00060",0.04,"NN 03/02","01.02.2002.",NA,2789
"107","BARBAN",2003,18,"XVIII ISTARSKA","OPĆINA","00060",0.05,"NN 14/03","01.01.2003.",NA,2780
"108","BARBAN",2004,18,"XVIII ISTARSKA","OPĆINA","00060",0.05,"NN 14/03","01.01.2003.",NA,2741
"109","BARBAN",2005,18,"XVIII ISTARSKA","OPĆINA","00060",0.05,"NN 14/03","01.01.2003.",NA,2748
"110","BARBAN",2006,18,"XVIII ISTARSKA","OPĆINA","00060",0.05,"NN 14/03","01.01.2003.",NA,2758
"111","BARBAN",2007,18,"XVIII ISTARSKA","OPĆINA","00060",0.05,"NN 14/03","01.01.2003.",NA,2757
"112","BARBAN",2008,18,"XVIII ISTARSKA","OPĆINA","00060",0.05,"NN 14/03","01.01.2003.",344001.33,2735
"113","BARBAN",2009,18,"XVIII ISTARSKA","OPĆINA","00060",0.05,"NN 14/03","01.01.2003.",327582.95,2726
"114","BARBAN",2010,18,"XVIII ISTARSKA","OPĆINA","00060",0.05,"NN 14/03","01.01.2003.",276888.45,2731
"115","BARBAN",2011,18,"XVIII ISTARSKA","OPĆINA","00060",0.05,"NN 14/03","01.01.2003.",274068.06,2713
"116","BARBAN",2012,18,"XVIII ISTARSKA","OPĆINA","00060",0.05,"NN 14/03","01.01.2003.",319754.65,2707
"117","BARBAN",2013,18,"XVIII ISTARSKA","OPĆINA","00060",0.05,"NN 14/03","01.01.2003.",327782.975,2680
"118","BARBAN",2014,18,"XVIII ISTARSKA","OPĆINA","00060",0.05,"NN 14/03","01.01.2003.",324026.5649,2677
"119","BARBAN",2015,18,"XVIII ISTARSKA","OPĆINA","00060",0.05,"NN 14/03","01.01.2003.",283842.8381,2646
"120","BARBAN",2016,18,"XVIII ISTARSKA","OPĆINA","00060",0.05,"NN 14/03","01.01.2003.",309026.6326,2599
"121","BARBAN",2017,18,"XVIII ISTARSKA","OPĆINA","00060",0.05,"NN 14/03","01.01.2003.",301609.408555,2550
"122","BARBAN",2018,18,"XVIII ISTARSKA","OPĆINA","00060",0.05,"NN 14/03","01.01.2003.",359236.445804,2541
"123","BARBAN",2019,18,"XVIII ISTARSKA","OPĆINA","00060",0.05,"NN 14/03","01.01.2003.",360091.74529,2519
"124","BARBAN",2020,18,"XVIII ISTARSKA","OPĆINA","00060",0.05,"NN 14/03","01.01.2003.",359105.042038,2517
"125","BARBAN",2021,18,"XVIII ISTARSKA","OPĆINA","00060",0.05,"NN 14/03","01.01.2003.",307809.369375,2491
"126","BARBAN",2022,18,"XVIII ISTARSKA","OPĆINA","00060",0.05,"NN 14/03","01.01.2003.",NA,NA
"127","BARILOVIĆ",2002,4,"IV KARLOVAČKA","OPĆINA","00078",0,"-","-",NA,3090
"128","BARILOVIĆ",2003,4,"IV KARLOVAČKA","OPĆINA","00078",0,"-","-",NA,3080
"129","BARILOVIĆ",2004,4,"IV KARLOVAČKA","OPĆINA","00078",0,"-","-",NA,3065
"130","BARILOVIĆ",2005,4,"IV KARLOVAČKA","OPĆINA","00078",0,"-","-",NA,3040
"131","BARILOVIĆ",2006,4,"IV KARLOVAČKA","OPĆINA","00078",0,"-","-",NA,3030
"132","BARILOVIĆ",2007,4,"IV KARLOVAČKA","OPĆINA","00078",0,"-","-",NA,3019
"133","BARILOVIĆ",2008,4,"IV KARLOVAČKA","OPĆINA","00078",0,"-","-",0,3038
"134","BARILOVIĆ",2009,4,"IV KARLOVAČKA","OPĆINA","00078",0,"-","-",0,3039
"135","BARILOVIĆ",2010,4,"IV KARLOVAČKA","OPĆINA","00078",0,"-","-",0,3018
"136","BARILOVIĆ",2011,4,"IV KARLOVAČKA","OPĆINA","00078",0,"-","-",0,2973
"137","BARILOVIĆ",2012,4,"IV KARLOVAČKA","OPĆINA","00078",0,"-","-",0,2983
"138","BARILOVIĆ",2013,4,"IV KARLOVAČKA","OPĆINA","00078",0,"-","-",0,2938
"139","BARILOVIĆ",2014,4,"IV KARLOVAČKA","OPĆINA","00078",0,"-","-",0,2877
"140","BARILOVIĆ",2015,4,"IV KARLOVAČKA","OPĆINA","00078",0,"-","-",0,2827
"141","BARILOVIĆ",2016,4,"IV KARLOVAČKA","OPĆINA","00078",0,"-","-",0,2807
"142","BARILOVIĆ",2017,4,"IV KARLOVAČKA","OPĆINA","00078",0,"-","-",0,2775
"143","BARILOVIĆ",2018,4,"IV KARLOVAČKA","OPĆINA","00078",0,"-","-",0,2745
"144","BARILOVIĆ",2019,4,"IV KARLOVAČKA","OPĆINA","00078",0,"-","-",0,2722
"145","BARILOVIĆ",2020,4,"IV KARLOVAČKA","OPĆINA","00078",0,"-","-",0,2666
"146","BARILOVIĆ",2021,4,"IV KARLOVAČKA","OPĆINA","00078",0,"-","-",0,2673
"147","BARILOVIĆ",2022,4,"IV KARLOVAČKA","OPĆINA","00078",0,"-","-",NA,NA
"148","BAŠKA",2002,8,"VIII PRIMORSKO-GORANSKA","OPĆINA","00086",0,"-","-",NA,1552
"149","BAŠKA",2003,8,"VIII PRIMORSKO-GORANSKA","OPĆINA","00086",0,"-","-",NA,1593
"150","BAŠKA",2004,8,"VIII PRIMORSKO-GORANSKA","OPĆINA","00086",0,"-","-",NA,1637
"151","BAŠKA",2005,8,"VIII PRIMORSKO-GORANSKA","OPĆINA","00086",0,"-","-",NA,1654
"152","BAŠKA",2006,8,"VIII PRIMORSKO-GORANSKA","OPĆINA","00086",0,"-","-",NA,1683
"153","BAŠKA",2007,8,"VIII PRIMORSKO-GORANSKA","OPĆINA","00086",0,"-","-",NA,1689
"154","BAŠKA",2008,8,"VIII PRIMORSKO-GORANSKA","OPĆINA","00086",0,"-","-",0,1708
"155","BAŠKA",2009,8,"VIII PRIMORSKO-GORANSKA","OPĆINA","00086",0,"-","-",0,1691
"156","BAŠKA",2010,8,"VIII PRIMORSKO-GORANSKA","OPĆINA","00086",0,"-","-",0,1677
"157","BAŠKA",2011,8,"VIII PRIMORSKO-GORANSKA","OPĆINA","00086",0,"-","-",0,1700
"158","BAŠKA",2012,8,"VIII PRIMORSKO-GORANSKA","OPĆINA","00086",0,"-","-",0,1710
